trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.7,0.3,AA,0,left,0.44396686554,pink,3.9923620224,1,0
2,0.7,0.3,BB,1,left,1.12702608109,blue,3.44557619095,0,0
3,0.7,0.3,BA,1,left,0.79688501358,pink,2.78081917763,0,0
4,0.7,0.3,AA,0,left,0.711246967316,pink,2.46761894226,0,0
5,0.7,0.3,BB,1,left,1.35238599777,blue,1.09729909897,0,0
6,0.7,0.3,AB,0,right,0.666697978973,pink,1.46240091324,1,0
7,0.7,0.3,BA,1,left,0.198937892914,pink,0.910482883453,1,0
8,0.7,0.3,BB,1,right,0.454133987427,pink,0.715564012527,1,0
9,0.7,0.3,AB,1,right,0.342756032944,blue,2.75305104256,0,0
10,0.7,0.3,BA,1,right,0.0831091403961,blue,1.71801304817,1,0
11,0.7,0.3,AB,1,right,0.226805925369,blue,1.0823469162,1,0
12,0.7,0.3,AA,0,right,0.991425991058,blue,1.18309307098,1,0
13,0.7,0.3,AA,1,left,0.3544049263,blue,0.92435002327,0,0
14,0.7,0.3,AA,1,right,0.352056980133,pink,1.01717805862,1,0
15,0.7,0.3,AB,1,right,0.322676181793,blue,0.852777004242,0,0
16,0.7,0.3,BB,1,right,0.971873044968,pink,1.06032395363,0,0
17,0.7,0.3,BA,1,right,0.604802846909,blue,0.691972017288,1,0
18,0.7,0.3,BA,1,right,0.498224020004,blue,0.782183885574,0,0
19,0.7,0.3,AA,0,left,0.747200965881,pink,0.76430606842,0,0
20,0.7,0.3,AA,1,left,0.653505086899,blue,0.851649999619,0,0
21,0.7,0.3,BB,1,left,1.29219603539,blue,0.817121982574,0,0
22,0.7,0.3,AB,0,right,0.638015985489,pink,0.67718911171,1,0
23,0.7,0.3,BA,1,right,0.513714075089,blue,0.613219976425,0,0
24,0.7,0.3,AB,1,,,,,0,1
25,0.7,0.3,AA,1,right,0.416263103485,pink,0.479114055634,1,0
26,0.7,0.3,AA,0,right,0.560196876526,blue,0.705650806427,1,0
27,0.7,0.3,AA,1,right,0.603147983551,pink,0.587161064148,1,0
28,0.7,0.3,AB,0,left,1.09869503975,blue,0.573990106583,0,0
29,0.7,0.3,AB,1,right,0.651473045349,blue,0.625199079514,0,0
30,0.7,0.3,BB,1,right,0.697025060654,pink,0.500436067581,1,0
31,0.7,0.3,AA,1,right,0.718743801117,pink,0.577613830566,1,0
32,0.7,0.3,AA,1,right,0.466569900513,pink,0.471817970276,0,0
33,0.7,0.3,BB,0,right,0.770347833633,blue,0.459566831589,0,0
34,0.7,0.3,AB,1,right,1.96277189255,blue,0.227751016617,1,0
35,0.7,0.3,BB,1,left,0.0599210262299,blue,0.401267051697,0,0
36,0.7,0.3,BA,1,right,0.447551012039,blue,0.453568935394,1,0
37,0.7,0.3,BA,1,right,0.632771015167,blue,0.511296987534,0,0
38,0.7,0.3,AB,1,right,0.59236907959,blue,0.504364013672,0,0
39,0.7,0.3,BA,1,right,0.32599401474,blue,0.528523921967,0,0
40,0.7,0.3,BB,1,right,0.685638904572,pink,0.417709827423,1,0
41,0.7,0.3,AA,0,right,0.501538991928,blue,0.457437992096,0,0
42,0.7,0.3,AA,1,right,0.409282922745,pink,0.536354064941,1,0
43,0.7,0.3,BB,1,right,0.636100053787,pink,0.514755964279,0,0
44,0.7,0.3,BA,1,right,1.49312400818,blue,0.481098890305,0,0
45,0.7,0.3,BA,0,right,0.523697137833,pink,0.446131944656,1,0
