trial,reward_prob_pink,reward_prob_blue,init_state,common,choice,rt1,final_state,rt2,reward,slow
1,0.3,0.7,AA,1,left,1.46427583694,blue,2.39557695389,0,0
2,0.3,0.7,BA,0,right,0.482254981995,pink,0.917851924896,0,0
3,0.3,0.7,BA,1,left,0.728875160217,pink,1.2672970295,1,0
4,0.3,0.7,BA,1,left,0.38299703598,pink,0.838688135147,0,0
5,0.3,0.7,AB,1,right,0.652981042862,blue,2.04300904274,1,0
6,0.3,0.7,AB,1,left,0.831393957138,pink,0.956562042236,0,0
7,0.3,0.7,BB,1,right,1.55144405365,pink,0.838235855103,0,0
8,0.3,0.7,AA,0,left,0.50882101059,pink,1.10403513908,1,0
9,0.3,0.7,AB,1,left,1.33928394318,pink,1.13173007965,1,0
10,0.3,0.7,BB,1,right,0.318852186203,pink,0.785835981369,0,0
11,0.3,0.7,AB,1,left,0.489153146744,pink,0.596863985062,0,0
12,0.3,0.7,BA,1,right,0.325896024704,blue,1.3280608654,0,0
13,0.3,0.7,AA,0,,,,,0,1
14,0.3,0.7,AA,0,right,0.386518001556,blue,1.10608291626,1,0
15,0.3,0.7,AA,1,right,0.38866519928,pink,1.74869608879,0,0
16,0.3,0.7,AB,1,right,0.645262956619,blue,0.945799827576,1,0
17,0.3,0.7,BB,1,left,0.347759008408,blue,0.820647001266,0,0
18,0.3,0.7,AA,1,right,0.43584895134,pink,0.81746506691,0,0
19,0.3,0.7,AB,1,right,0.904713153839,blue,0.635267972946,1,0
20,0.3,0.7,AA,1,left,0.2818608284,blue,0.421318054199,0,0
21,0.3,0.7,AB,1,right,1.01294708252,blue,0.426668167114,1,0
22,0.3,0.7,AA,0,left,0.323327064514,pink,0.373668193817,1,0
23,0.3,0.7,AA,1,right,0.662201881409,pink,0.394069910049,0,0
24,0.3,0.7,AB,1,right,0.380134105682,blue,0.227769136429,1,0
25,0.3,0.7,BA,1,,,,,0,1
26,0.3,0.7,AA,1,right,0.449826955795,pink,0.486707925797,0,0
27,0.3,0.7,AA,1,left,0.435408115387,blue,0.297075033188,1,0
28,0.3,0.7,BA,1,right,0.693389177322,blue,0.656837940216,0,0
29,0.3,0.7,AA,1,left,0.503639936447,blue,0.370397090912,1,0
30,0.3,0.7,AB,0,left,0.339885950089,blue,0.213619947433,1,0
31,0.3,0.7,BA,0,left,0.309381961823,blue,0.264010190964,0,0
32,0.3,0.7,BA,1,right,0.325944185257,blue,0.223962068558,0,0
33,0.3,0.7,AA,1,left,0.966742038727,blue,0.391054868698,1,0
34,0.3,0.7,AB,1,right,0.295558214188,blue,0.242368936539,1,0
35,0.3,0.7,BA,0,right,0.289597034454,pink,0.293736934662,0,0
36,0.3,0.7,BA,1,right,0.29812502861,blue,0.205259084702,1,0
37,0.3,0.7,AA,1,right,1.02153396606,pink,0.203266859055,0,0
38,0.3,0.7,AB,1,right,0.292824029922,blue,0.143543958664,0,0
39,0.3,0.7,AA,1,left,0.490224838257,blue,0.285865068436,1,0
